"Day ","Items ","Note ","Amount "
"69","Rental Expense","Cash Payment - Rental - New York","5360"
"69","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - San Francisco","721"
"69","Rental Expense","Cash Payment - Rental - San Francisco","7200"
"68","Human Resource Expense","Counselled","2000"
"68","Human Resource Expense","Counselled","2000"
"68","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"68","Marketing Expense","Cash Payment - Marketing - Los Angeles - Mouthwash","4000"
"68","Marketing Expense","Cash Payment - Marketing - Los Angeles - Body Wash  ","4000"
"68","Marketing Expense","Cash Payment - Marketing - Los Angeles - Shampoo","4000"
"68","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","20000"
"68","Marketing Expense","Cash Payment - Marketing - New York - Body Wash  ","20000"
"68","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","20000"
"68","Salary Expense","Cash Payment - Salary Expense","26716"
"68","Penalty Expense","Cash Payment - Late penalty - SRV SO ID: 7998","4400"
"68","Interest Expense ","Cash Payment - Interest - For Overdraft","1541"
"68","Depreciation Expense","Non-Cash Expense - Depreciation","14999"
"68","Rental Expense","Cash Payment - Rental - Los Angeles","2160"
"68","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Detroit","2000"
"68","Rental Expense","Cash Payment - Rental - Detroit","2400"
"68","Rental Expense","Cash Payment - Rental - New York","5360"
"68","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - San Francisco","721"
"68","Rental Expense","Cash Payment - Rental - San Francisco","7200"
"67","Human Resource Expense","Counselled","2000"
"67","Human Resource Expense","Counselled","2000"
"67","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"67","Marketing Expense","Cash Payment - Marketing - Los Angeles - Mouthwash","4000"
"67","Marketing Expense","Cash Payment - Marketing - Los Angeles - Body Wash  ","4000"
"67","Marketing Expense","Cash Payment - Marketing - Los Angeles - Shampoo","4000"
"67","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","20000"
"67","Marketing Expense","Cash Payment - Marketing - New York - Body Wash  ","20000"
"67","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","20000"
"67","Salary Expense","Cash Payment - Salary Expense","26716"
"67","Shipping Expense","Cash Payment - Move Stock ID: 10468","537054"
"67","Interest Expense ","Cash Payment - Interest - For Overdraft","2568"
"67","Depreciation Expense","Non-Cash Expense - Depreciation","14999"
"67","Rental Expense","Cash Payment - Rental - Los Angeles","2160"
"67","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Detroit","2324"
"67","Rental Expense","Cash Payment - Rental - Detroit","2400"
"67","Rental Expense","Cash Payment - Rental - New York","5360"
"67","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - San Francisco","791"
"67","Rental Expense","Cash Payment - Rental - San Francisco","7200"
"66","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"66","Marketing Expense","Cash Payment - Marketing - Los Angeles - Mouthwash","4000"
"66","Marketing Expense","Cash Payment - Marketing - Los Angeles - Body Wash  ","4000"
"66","Marketing Expense","Cash Payment - Marketing - Los Angeles - Shampoo","4000"
"66","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","20000"
"66","Marketing Expense","Cash Payment - Marketing - New York - Body Wash  ","20000"
"66","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","20000"
"66","Salary Expense","Cash Payment - Salary Expense","26716"
"66","Interest Expense ","Cash Payment - Interest - For Overdraft","1027"
"66","Depreciation Expense","Non-Cash Expense - Depreciation","14999"
"66","Rental Expense","Cash Payment - Rental - Los Angeles","2160"
"66","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Detroit","2740"
"66","Rental Expense","Cash Payment - Rental - Detroit","2400"
"66","Rental Expense","Cash Payment - Rental - New York","5360"
"66","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - San Francisco","63"
"66","Rental Expense","Cash Payment - Rental - San Francisco","7200"
"65","Human Resource Expense","Counselled","2000"
"65","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"65","Marketing Expense","Cash Payment - Marketing - Los Angeles - Mouthwash","4000"
"65","Marketing Expense","Cash Payment - Marketing - Los Angeles - Body Wash  ","4000"
"65","Marketing Expense","Cash Payment - Marketing - Los Angeles - Shampoo","4000"
"65","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","20000"
"65","Marketing Expense","Cash Payment - Marketing - New York - Body Wash  ","20000"
"65","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","20000"
"65","Salary Expense","Cash Payment - Salary Expense","26716"
"65","Interest Expense ","Cash Payment - Interest - For Overdraft","2055"
"65","Depreciation Expense","Non-Cash Expense - Depreciation","14999"
"65","Rental Expense","Cash Payment - Rental - Los Angeles","2160"
"65","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Detroit","2892"
"65","Rental Expense","Cash Payment - Rental - Detroit","2400"
"65","Rental Expense","Cash Payment - Rental - New York","5360"
"65","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - San Francisco","63"
"65","Rental Expense","Cash Payment - Rental - San Francisco","7200"
"64","Human Resource Expense","Counselled","2000"
"64","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"64","Marketing Expense","Cash Payment - Marketing - Los Angeles - Mouthwash","4000"
"64","Marketing Expense","Cash Payment - Marketing - Los Angeles - Body Wash  ","4000"
"64","Marketing Expense","Cash Payment - Marketing - Los Angeles - Shampoo","4000"
"64","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","20000"
"64","Marketing Expense","Cash Payment - Marketing - New York - Body Wash  ","20000"
"64","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","20000"
"64","Salary Expense","Cash Payment - Salary Expense","26697"
"64","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 453","15000"
"64","Interest Expense ","Cash Payment - Interest - For Overdraft","2055"
"64","Depreciation Expense","Non-Cash Expense - Depreciation","14999"
"64","Rental Expense","Cash Payment - Rental - Los Angeles","2160"
"64","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Detroit","3108"
"64","Rental Expense","Cash Payment - Rental - Detroit","2400"
"64","Rental Expense","Cash Payment - Rental - New York","5360"
"64","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - San Francisco","63"
"64","Rental Expense","Cash Payment - Rental - San Francisco","7200"
"63","Human Resource Expense","Counselled","2000"
"63","Human Resource Expense","Counselled","2000"
"63","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"63","Marketing Expense","Cash Payment - Marketing - Los Angeles - Mouthwash","4000"
"63","Marketing Expense","Cash Payment - Marketing - Los Angeles - Body Wash  ","4000"
"63","Marketing Expense","Cash Payment - Marketing - Los Angeles - Shampoo","4000"
"63","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","20000"
"63","Marketing Expense","Cash Payment - Marketing - New York - Body Wash  ","20000"
"63","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","20000"
"63","Salary Expense","Cash Payment - Salary Expense","26678"
"63","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 451","15000"
"63","Interest Expense ","Cash Payment - Interest - For Overdraft","3082"
"63","Depreciation Expense","Non-Cash Expense - Depreciation","14999"
"63","Rental Expense","Cash Payment - Rental - Los Angeles","2160"
"63","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Detroit","3280"
"63","Rental Expense","Cash Payment - Rental - Detroit","2400"
"63","Rental Expense","Cash Payment - Rental - New York","5360"
"63","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - San Francisco","77"
"63","Rental Expense","Cash Payment - Rental - San Francisco","7200"
"62","Human Resource Expense","Attended Training","15000"
"62","Human Resource Expense","Attended Training","15000"
"62","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"62","Marketing Expense","Cash Payment - Marketing - Los Angeles - Mouthwash","4000"
"62","Marketing Expense","Cash Payment - Marketing - Los Angeles - Body Wash  ","4000"
"62","Marketing Expense","Cash Payment - Marketing - Los Angeles - Shampoo","4000"
"62","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","20000"
"62","Marketing Expense","Cash Payment - Marketing - New York - Body Wash  ","20000"
"62","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","20000"
"62","Salary Expense","Cash Payment - Salary Expense","26584"
"62","Shipping Expense","Cash Payment - Move Stock ID: 10406","47059"
"62","Interest Expense ","Cash Payment - Interest - For Overdraft","3082"
"62","Depreciation Expense","Non-Cash Expense - Depreciation","14999"
"62","Rental Expense","Cash Payment - Rental - Los Angeles","2160"
"62","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Detroit","3668"
"62","Rental Expense","Cash Payment - Rental - Detroit","2400"
"62","Rental Expense","Cash Payment - Rental - New York","5360"
"62","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - San Francisco","77"
"62","Rental Expense","Cash Payment - Rental - San Francisco","7200"
"61","Human Resource Expense","Cash Payment - Staff Recruiting - Production","30000"
"61","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"61","Marketing Expense","Cash Payment - Marketing - Los Angeles - Mouthwash","4000"
"61","Marketing Expense","Cash Payment - Marketing - Los Angeles - Body Wash  ","4000"
"61","Marketing Expense","Cash Payment - Marketing - Los Angeles - Shampoo","4000"
"61","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","20000"
"61","Marketing Expense","Cash Payment - Marketing - New York - Body Wash  ","20000"
"61","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","20000"
"61","Salary Expense","Cash Payment - Salary Expense","26302"
"61","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 10040","180"
"61","Penalty Expense","Cash Payment - Late penalty - SRV SO ID: 6296","3300"
"61","Penalty Expense","Cash Payment - Late penalty - SRV SO ID: 6775","5500"
"61","Interest Expense ","Cash Payment - Interest - For Overdraft","3082"
"61","Depreciation Expense","Non-Cash Expense - Depreciation","14999"
"61","Rental Expense","Cash Payment - Rental - Los Angeles","2160"
"61","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Detroit","3668"
"61","Rental Expense","Cash Payment - Rental - Detroit","2400"
"61","Rental Expense","Cash Payment - Rental - New York","5360"
"61","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - San Francisco","259"
"61","Rental Expense","Cash Payment - Rental - San Francisco","7200"
"60","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"60","Marketing Expense","Cash Payment - Marketing - Los Angeles - Mouthwash","4000"
"60","Marketing Expense","Cash Payment - Marketing - Los Angeles - Body Wash  ","4000"
"60","Marketing Expense","Cash Payment - Marketing - Los Angeles - Shampoo","4000"
"60","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","20000"
"60","Marketing Expense","Cash Payment - Marketing - New York - Body Wash  ","20000"
"60","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","20000"
"60","Salary Expense","Cash Payment - Salary Expense","24792"
"60","Interest Expense ","Cash Payment - Interest - For Overdraft","3082"
"60","Depreciation Expense","Non-Cash Expense - Depreciation","9999"
"60","Rental Expense","Cash Payment - Rental - Los Angeles","2160"
"60","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Detroit","3672"
"60","Rental Expense","Cash Payment - Rental - Detroit","2400"
"60","Rental Expense","Cash Payment - Rental - New York","5360"
"60","Rental Expense","Cash Payment - Rental - San Francisco","7200"
"59","Human Resource Expense","Attended Training","15000"
"59","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"59","Marketing Expense","Cash Payment - Marketing - Los Angeles - Mouthwash","4000"
"59","Marketing Expense","Cash Payment - Marketing - Los Angeles - Body Wash  ","4000"
"59","Marketing Expense","Cash Payment - Marketing - Los Angeles - Shampoo","4000"
"59","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","20000"
"59","Marketing Expense","Cash Payment - Marketing - New York - Body Wash  ","20000"
"59","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","20000"
"59","Salary Expense","Cash Payment - Salary Expense","24792"
"59","Shipping Expense","Cash Payment - Move Stock ID: 9581","202117"
"59","Shipping Expense","Cash Payment - Move Stock ID: 9595","342656"
"59","Interest Expense ","Cash Payment - Interest - For Overdraft","4110"
"59","Depreciation Expense","Non-Cash Expense - Depreciation","9999"
"59","Rental Expense","Cash Payment - Rental - Los Angeles","2160"
"59","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Detroit","4356"
"59","Rental Expense","Cash Payment - Rental - Detroit","2400"
"59","Rental Expense","Cash Payment - Rental - New York","5360"
"59","Rental Expense","Cash Payment - Rental - San Francisco","7200"
"58","Human Resource Expense","Attended Training","15000"
"58","Human Resource Expense","Attended Training","15000"
"58","Human Resource Expense","Counselled","2000"
"58","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"58","Marketing Expense","Cash Payment - Marketing - Los Angeles - Mouthwash","4000"
"58","Marketing Expense","Cash Payment - Marketing - Los Angeles - Body Wash  ","4000"
"58","Marketing Expense","Cash Payment - Marketing - Los Angeles - Shampoo","4000"
"58","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","20000"
"58","Marketing Expense","Cash Payment - Marketing - New York - Body Wash  ","20000"
"58","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","20000"
"58","Salary Expense","Cash Payment - Salary Expense","24792"
"58","Depreciation Expense","Non-Cash Expense - Depreciation","9999"
"58","Rental Expense","Cash Payment - Rental - Los Angeles","2160"
"58","Rental Expense","Cash Payment - Rental - Detroit","2400"
"58","Rental Expense","Cash Payment - Rental - New York","5360"
"58","Rental Expense","Cash Payment - Rental - San Francisco","7200"
"57","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"57","Marketing Expense","Cash Payment - Marketing - Los Angeles - Mouthwash","4000"
"57","Marketing Expense","Cash Payment - Marketing - Los Angeles - Body Wash  ","4000"
"57","Marketing Expense","Cash Payment - Marketing - Los Angeles - Shampoo","4000"
"57","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","20000"
"57","Marketing Expense","Cash Payment - Marketing - New York - Body Wash  ","20000"
"57","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","20000"
"57","Salary Expense","Cash Payment - Salary Expense","24792"
"57","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 453","15000"
"57","Depreciation Expense","Non-Cash Expense - Depreciation","9999"
"57","Rental Expense","Cash Payment - Rental - Los Angeles","2160"
"57","Rental Expense","Cash Payment - Rental - Detroit","2400"
"57","Rental Expense","Cash Payment - Rental - New York","5360"
"57","Rental Expense","Cash Payment - Rental - San Francisco","7200"
"56","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"56","Marketing Expense","Cash Payment - Marketing - Los Angeles - Mouthwash","4000"
"56","Marketing Expense","Cash Payment - Marketing - Los Angeles - Body Wash  ","4000"
"56","Marketing Expense","Cash Payment - Marketing - Los Angeles - Shampoo","4000"
"56","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","20000"
"56","Marketing Expense","Cash Payment - Marketing - New York - Body Wash  ","20000"
"56","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","20000"
"56","Salary Expense","Cash Payment - Salary Expense","24792"
"56","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 451","15000"
"56","Interest Expense ","Cash Payment - Interest - For Overdraft","1926"
"56","Depreciation Expense","Non-Cash Expense - Depreciation","9999"
"56","Rental Expense","Cash Payment - Rental - Los Angeles","2160"
"56","Rental Expense","Cash Payment - Rental - Detroit","2400"
"56","Rental Expense","Cash Payment - Rental - New York","5360"
"56","Rental Expense","Cash Payment - Rental - San Francisco","7200"
"55","Human Resource Expense","Attended Training","15000"
"55","Human Resource Expense","Counselled","2000"
"55","Human Resource Expense","Counselled","2000"
"55","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"55","Marketing Expense","Cash Payment - Marketing - Los Angeles - Mouthwash","4000"
"55","Marketing Expense","Cash Payment - Marketing - Los Angeles - Body Wash  ","4000"
"55","Marketing Expense","Cash Payment - Marketing - Los Angeles - Shampoo","4000"
"55","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","20000"
"55","Marketing Expense","Cash Payment - Marketing - New York - Body Wash  ","20000"
"55","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","20000"
"55","Salary Expense","Cash Payment - Salary Expense","24792"
"55","Interest Expense ","Cash Payment - Interest - For Overdraft","3981"
"55","Depreciation Expense","Non-Cash Expense - Depreciation","9999"
"55","Rental Expense","Cash Payment - Rental - Los Angeles","2160"
"55","Rental Expense","Cash Payment - Rental - Detroit","2400"
"55","Rental Expense","Cash Payment - Rental - New York","5360"
"55","Rental Expense","Cash Payment - Rental - San Francisco","7200"
"54","Human Resource Expense","Attended Training","15000"
"54","Human Resource Expense","Attended Training","15000"
"54","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"54","Marketing Expense","Cash Payment - Marketing - Los Angeles - Mouthwash","4000"
"54","Marketing Expense","Cash Payment - Marketing - Los Angeles - Body Wash  ","4000"
"54","Marketing Expense","Cash Payment - Marketing - Los Angeles - Shampoo","4000"
"54","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","20000"
"54","Marketing Expense","Cash Payment - Marketing - New York - Body Wash  ","20000"
"54","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","20000"
"54","Salary Expense","Cash Payment - Salary Expense","24774"
"54","Shipping Expense","Cash Payment - Move Stock ID: 8058","51154"
"54","Interest Expense ","Cash Payment - Interest - For Overdraft","2055"
"54","Depreciation Expense","Non-Cash Expense - Depreciation","9999"
"54","Rental Expense","Cash Payment - Rental - Los Angeles","2160"
"54","Rental Expense","Cash Payment - Rental - Detroit","2400"
"54","Rental Expense","Cash Payment - Rental - New York","5360"
"54","Rental Expense","Cash Payment - Rental - San Francisco","7200"
"53","Human Resource Expense","Attended Training","15000"
"53","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"53","Marketing Expense","Cash Payment - Marketing - Los Angeles - Mouthwash","4000"
"53","Marketing Expense","Cash Payment - Marketing - Los Angeles - Body Wash  ","4000"
"53","Marketing Expense","Cash Payment - Marketing - Los Angeles - Shampoo","4000"
"53","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","20000"
"53","Marketing Expense","Cash Payment - Marketing - New York - Body Wash  ","20000"
"53","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","20000"
"53","Salary Expense","Cash Payment - Salary Expense","24756"
"53","Shipping Expense","Cash Payment - Move Stock ID: 8701","19039"
"53","Interest Expense ","Cash Payment - Interest - For Overdraft","2055"
"53","Depreciation Expense","Non-Cash Expense - Depreciation","9999"
"53","Rental Expense","Cash Payment - Rental - Los Angeles","2160"
"53","Rental Expense","Cash Payment - Rental - Detroit","2400"
"53","Rental Expense","Cash Payment - Rental - New York","5360"
"53","Rental Expense","Cash Payment - Rental - San Francisco","7200"
"52","Human Resource Expense","Cash Payment - Staff Recruiting","15000"
"52","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"52","Marketing Expense","Cash Payment - Marketing - Los Angeles - Mouthwash","4000"
"52","Marketing Expense","Cash Payment - Marketing - Los Angeles - Body Wash  ","4000"
"52","Marketing Expense","Cash Payment - Marketing - Los Angeles - Shampoo","4000"
"52","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","20000"
"52","Marketing Expense","Cash Payment - Marketing - New York - Body Wash  ","20000"
"52","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","20000"
"52","Salary Expense","Cash Payment - Salary Expense","24666"
"52","Interest Expense ","Cash Payment - Interest - For Overdraft","3082"
"52","Depreciation Expense","Non-Cash Expense - Depreciation","9999"
"52","Rental Expense","Cash Payment - Rental - Los Angeles","2160"
"52","Rental Expense","Cash Payment - Rental - Detroit","2400"
"52","Rental Expense","Cash Payment - Rental - New York","5360"
"52","Rental Expense","Cash Payment - Rental - San Francisco","7200"
"51","Human Resource Expense","Cash Payment - Staff Recruiting","15000"
"51","Human Resource Expense","Counselled","2000"
"51","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"51","Marketing Expense","Cash Payment - Marketing - Los Angeles - Mouthwash","4000"
"51","Marketing Expense","Cash Payment - Marketing - Los Angeles - Body Wash  ","4000"
"51","Marketing Expense","Cash Payment - Marketing - Los Angeles - Shampoo","4000"
"51","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","20000"
"51","Marketing Expense","Cash Payment - Marketing - New York - Body Wash  ","20000"
"51","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","20000"
"51","Salary Expense","Cash Payment - Salary Expense","24064"
"51","Interest Expense ","Cash Payment - Interest - For Overdraft","4110"
"51","Depreciation Expense","Non-Cash Expense - Depreciation","9999"
"51","Rental Expense","Cash Payment - Rental - Los Angeles","2160"
"51","Rental Expense","Cash Payment - Rental - Detroit","2400"
"51","Rental Expense","Cash Payment - Rental - New York","5360"
"51","Rental Expense","Cash Payment - Rental - San Francisco","7200"
"50","Human Resource Expense","Attended Training","15000"
"50","Human Resource Expense","Attended Training","15000"
"50","Human Resource Expense","Counselled","2000"
"50","Human Resource Expense","Attended Training","15000"
"50","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"50","Marketing Expense","Cash Payment - Marketing - Los Angeles - Mouthwash","4000"
"50","Marketing Expense","Cash Payment - Marketing - Los Angeles - Body Wash  ","4000"
"50","Marketing Expense","Cash Payment - Marketing - Los Angeles - Shampoo","4000"
"50","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","20000"
